danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre_playlist,name,artist
0.754,0.785,10,-8.178,0,0.18,0.0287,0.00144,0.319,0.821,94.123,audio_features,0XgpiStoxq1IJncYlPrvZ5,spotify:track:0XgpiStoxq1IJncYlPrvZ5,https://api.spotify.com/v1/tracks/0XgpiStoxq1IJncYlPrvZ5,https://api.spotify.com/v1/audio-analysis/0XgpiStoxq1IJncYlPrvZ5,296267,4,JAZZ-Y.,Runnin',The Pharcyde
0.843,0.585,1,-14.268,1,0.0652,0.64,0.0456,0.131,0.835,91.937,audio_features,1BXastKgdI3AiFipVt69Fv,spotify:track:1BXastKgdI3AiFipVt69Fv,https://api.spotify.com/v1/tracks/1BXastKgdI3AiFipVt69Fv,https://api.spotify.com/v1/audio-analysis/1BXastKgdI3AiFipVt69Fv,279373,4,JAZZ-Y.,Jettin',Digable Planets
0.758,0.845,2,-8.021,1,0.272,0.121,0.0,0.328,0.944,76.882,audio_features,1KcZRMyC2tSs3CMIsng9wx,spotify:track:1KcZRMyC2tSs3CMIsng9wx,https://api.spotify.com/v1/tracks/1KcZRMyC2tSs3CMIsng9wx,https://api.spotify.com/v1/audio-analysis/1KcZRMyC2tSs3CMIsng9wx,321507,4,JAZZ-Y.,Otha Fish,The Pharcyde
0.884,0.334,1,-18.943,0,0.228,0.0476,0.0588,0.107,0.571,98.315,audio_features,26q6YTrXt9l8qshIveiTX9,spotify:track:26q6YTrXt9l8qshIveiTX9,https://api.spotify.com/v1/tracks/26q6YTrXt9l8qshIveiTX9,https://api.spotify.com/v1/audio-analysis/26q6YTrXt9l8qshIveiTX9,261267,4,JAZZ-Y.,Rebirth Of Slick (Cool Like Dat),Digable Planets
0.876,0.42,0,-18.246,0,0.279,0.188,0.00186,0.0668,0.706,98.304,audio_features,1962ZwEY7WNQLcmYFn3eR9,spotify:track:1962ZwEY7WNQLcmYFn3eR9,https://api.spotify.com/v1/tracks/1962ZwEY7WNQLcmYFn3eR9,https://api.spotify.com/v1/audio-analysis/1962ZwEY7WNQLcmYFn3eR9,275342,4,JAZZ-Y.,Where I'm From,Digable Planets
0.888,0.574,9,-6.286,1,0.172,0.138,7.16e-05,0.211,0.696,104.716,audio_features,7EhEPcPa60LlvGuG9R1DOx,spotify:track:7EhEPcPa60LlvGuG9R1DOx,https://api.spotify.com/v1/tracks/7EhEPcPa60LlvGuG9R1DOx,https://api.spotify.com/v1/audio-analysis/7EhEPcPa60LlvGuG9R1DOx,282520,4,JAZZ-Y.,Luck of Lucien,A Tribe Called Quest
0.749,0.839,1,-9.173,0,0.231,0.0364,0.0,0.134,0.64,87.587,audio_features,0msneWUDfYKAGrifwEDhtl,spotify:track:0msneWUDfYKAGrifwEDhtl,https://api.spotify.com/v1/tracks/0msneWUDfYKAGrifwEDhtl,https://api.spotify.com/v1/audio-analysis/0msneWUDfYKAGrifwEDhtl,271080,4,JAZZ-Y.,San Francisco Knights,People Under The Stairs
0.759,0.756,4,-8.145,0,0.266,0.0903,2.36e-06,0.265,0.613,87.059,audio_features,4G3dZN9o3o2X4VKwt4CLts,spotify:track:4G3dZN9o3o2X4VKwt4CLts,https://api.spotify.com/v1/tracks/4G3dZN9o3o2X4VKwt4CLts,https://api.spotify.com/v1/audio-analysis/4G3dZN9o3o2X4VKwt4CLts,303493,4,JAZZ-Y.,Passin' Me By,The Pharcyde
0.801,0.757,7,-8.01,1,0.316,0.478,1.32e-05,0.163,0.607,88.025,audio_features,6dRj771QZr0KOQVwaB6ykM,spotify:track:6dRj771QZr0KOQVwaB6ykM,https://api.spotify.com/v1/tracks/6dRj771QZr0KOQVwaB6ykM,https://api.spotify.com/v1/audio-analysis/6dRj771QZr0KOQVwaB6ykM,276373,4,JAZZ-Y.,Grown Man Sport,Pete Rock
0.833,0.659,1,-6.12,1,0.284,0.059,7.06e-05,0.594,0.495,93.997,audio_features,2sH8oCfst77XWEyzJgTzhU,spotify:track:2sH8oCfst77XWEyzJgTzhU,https://api.spotify.com/v1/tracks/2sH8oCfst77XWEyzJgTzhU,https://api.spotify.com/v1/audio-analysis/2sH8oCfst77XWEyzJgTzhU,250307,4,JAZZ-Y.,Dynomite,Lone Catalysts
0.767,0.732,10,-4.297,0,0.355,0.149,0.0,0.923,0.843,93.108,audio_features,0uCIPyaPjArUBR1dyGiRfs,spotify:track:0uCIPyaPjArUBR1dyGiRfs,https://api.spotify.com/v1/tracks/0uCIPyaPjArUBR1dyGiRfs,https://api.spotify.com/v1/audio-analysis/0uCIPyaPjArUBR1dyGiRfs,253068,4,JAZZ-Y.,2000 Seasons,Talib Kweli
0.836,0.812,2,-6.985,1,0.215,0.188,1.82e-06,0.0982,0.769,92.009,audio_features,7oFiFPltiQTBqVutyiSwvE,spotify:track:7oFiFPltiQTBqVutyiSwvE,https://api.spotify.com/v1/tracks/7oFiFPltiQTBqVutyiSwvE,https://api.spotify.com/v1/audio-analysis/7oFiFPltiQTBqVutyiSwvE,145707,4,JAZZ-Y.,Figaro,Madvillain
0.773,0.581,8,-8.466,1,0.432,0.0352,0.0,0.485,0.711,94.093,audio_features,2MAaiV0bbeq4FpSwPe2rR8,spotify:track:2MAaiV0bbeq4FpSwPe2rR8,https://api.spotify.com/v1/tracks/2MAaiV0bbeq4FpSwPe2rR8,https://api.spotify.com/v1/audio-analysis/2MAaiV0bbeq4FpSwPe2rR8,203067,4,JAZZ-Y.,Find a Way,A Tribe Called Quest
0.721,0.949,6,-5.685,1,0.278,0.0495,0.0,0.327,0.835,83.028,audio_features,20DcrlNK0NcRknbX4wcEO4,spotify:track:20DcrlNK0NcRknbX4wcEO4,https://api.spotify.com/v1/tracks/20DcrlNK0NcRknbX4wcEO4,https://api.spotify.com/v1/audio-analysis/20DcrlNK0NcRknbX4wcEO4,240093,4,JAZZ-Y.,Luchini AKA This Is It,Camp Lo
0.618,0.711,2,-6.841,1,0.342,0.41,0.0,0.615,0.659,97.337,audio_features,5v9isbe4BHsWc9N25MmWfj,spotify:track:5v9isbe4BHsWc9N25MmWfj,https://api.spotify.com/v1/tracks/5v9isbe4BHsWc9N25MmWfj,https://api.spotify.com/v1/audio-analysis/5v9isbe4BHsWc9N25MmWfj,165693,4,JAZZ-Y.,Whenimondamic,Lootpack
0.619,0.608,5,-5.713,0,0.241,0.579,2.11e-05,0.221,0.633,79.683,audio_features,37HUD7Mr1zOIDW1QuOgaZH,spotify:track:37HUD7Mr1zOIDW1QuOgaZH,https://api.spotify.com/v1/tracks/37HUD7Mr1zOIDW1QuOgaZH,https://api.spotify.com/v1/audio-analysis/37HUD7Mr1zOIDW1QuOgaZH,290280,4,JAZZ-Y.,Nightmares (feat. Bilal & Pharrell Williams),Clipse
